datetime,date,irradiance_poa_wm2,temp_pv_c,pv_power_calc
2025-03-01 00:00:00,2025-03-01,0.0,22.5,0.0
2025-03-01 00:30:00,2025-03-01,0.0,22.3,0.0
2025-03-01 01:00:00,2025-03-01,0.0,22.1,0.0
2025-03-01 01:30:00,2025-03-01,0.0,22.0,0.0
2025-03-01 02:00:00,2025-03-01,0.0,21.9,0.0
2025-03-01 02:30:00,2025-03-01,0.0,21.7,0.0
2025-03-01 03:00:00,2025-03-01,0.0,21.6,0.0
2025-03-01 03:30:00,2025-03-01,0.0,21.6,0.0
2025-03-01 04:00:00,2025-03-01,0.0,21.9,0.0
2025-03-01 04:30:00,2025-03-01,0.0,21.3,0.0
2025-03-01 05:00:00,2025-03-01,0.0,21.2,0.0
2025-03-01 05:30:00,2025-03-01,0.0,21.4,0.0
2025-03-01 06:00:00,2025-03-01,16.4,22.1,0.7488491944999999
2025-03-01 06:30:00,2025-03-01,99.1,22.8,4.512223925249999
2025-03-01 07:00:00,2025-03-01,193.2,24.1,8.7503199735
2025-03-01 07:30:00,2025-03-01,321.9,30.5,14.198182119375
2025-03-01 08:00:00,2025-03-01,445.3,35.6,19.22087019775
2025-03-01 08:30:00,2025-03-01,568.8,42.0,23.878103129999996
2025-03-01 09:00:00,2025-03-01,677.3,46.4,27.881550622249993
2025-03-01 09:30:00,2025-03-01,774.0,48.4,31.575877605
2025-03-01 10:00:00,2025-03-01,847.5,53.6,33.75901201874999
2025-03-01 10:30:00,2025-03-01,914.2,57.3,35.79010379175
2025-03-01 11:00:00,2025-03-01,957.6,58.7,37.241139411
2025-03-01 11:30:00,2025-03-01,984.4,58.5,38.3198187825
2025-03-01 12:00:00,2025-03-01,1004.7,60.0,38.831215443750004
2025-03-01 12:30:00,2025-03-01,1004.7,54.8,39.79780214925
2025-03-01 13:00:00,2025-03-01,765.9,56.8,30.05514335475
2025-03-01 13:30:00,2025-03-01,479.1,49.9,19.412264230125
2025-03-01 14:00:00,2025-03-01,734.1,47.4,30.083946551999993
2025-03-01 14:30:00,2025-03-01,659.9,43.1,27.568163047624996
2025-03-01 15:00:00,2025-03-01,460.7,38.7,19.621364455124997
2025-03-01 15:30:00,2025-03-01,176.1,35.1,7.617447417375
2025-03-01 16:00:00,2025-03-01,175.2,35.1,7.578516680999998
2025-03-01 16:30:00,2025-03-01,143.4,32.0,6.2852094525
2025-03-01 17:00:00,2025-03-01,85.4,29.4,3.7841547029999996
2025-03-01 17:30:00,2025-03-01,15.5,27.2,0.6931285737499999
2025-03-01 18:00:00,2025-03-01,0.0,25.5,0.0
